,See I hadn't noticed the line below.,See I didn't see the line below.,See the brochure below.
See I hadn't noticed the line below.,-1.1920929e-07,0.08117926,0.9423779
See I didn't see the line below.,0.08117926,-1.1920929e-07,0.8631054
See the brochure below.,0.9423779,0.8631054,0.0
